"species","year","naxes","beta_total","beta_repl","beta_diff","vol_protected","vol_unprotected","disp_protected","disp_unprotected","delta_vol","delta_disp"
"Loxia leucoptera","2018s",5,0.12,0.087,0.033,4697.11861228302,4533.44075702062,0.712199341348776,0.699900370279833,163.677855262404,0.0122989710689433
"Lyrurus tetrix","2006s",7,0.39,0.312,0.077,32.3701057561009,29.4033294184732,0.693292027493348,0.677644524513872,2.96677633762767,0.0156475029794756
"Lyrurus tetrix","2012s",7,0.624,0.608,0.016,0.969473524792333,0.992622239642401,0.634330038271368,0.636910237678888,-0.0231487148500686,-0.00258019940751975
"Lyrurus tetrix","2018s",7,0.741,0.718,0.022,0.813161941641322,0.842690006301938,0.591574112134599,0.589786961047332,-0.0295280646606157,0.00178715108726646
"Parus major","2000s",6,0.464,0.451,0.012,82.2564443897969,80.9640651070686,0.698418447648027,0.696401818980916,1.29237928272829,0.0020166286671105
"Parus major","2006s",7,0.353,0.322,0.031,13.9316341048884,14.4742632498944,0.672016753610205,0.67691598068109,-0.542629145006018,-0.00489922707088508
"Parus major","2012s",7,0.566,0.54,0.026,2.59397098613701,2.50054330814287,0.61340318485631,0.617408990113948,0.0934276779941343,-0.00400580525763838
"Parus major","2018s",7,0.398,0.396,0.001,6.97502054087331,6.9867400586523,0.578117382952206,0.577146796516013,-0.0117195177789897,0.000970586436192966
"Perisoreus infaustus","2006s",5,0.071,0.05,0.021,6593.33575740645,6738.04009055084,0.641381907552742,0.641208524152741,-144.704333144389,0.00017338340000117
"Perisoreus infaustus","2012s",5,0.425,0.415,0.01,243.983533615371,247.144056778796,0.573110672985428,0.569367885782489,-3.16052316342493,0.0037427872029393
"Perisoreus infaustus","2018s",4,0.05,0.043,0.007,28598.0410627011,28807.8271258157,0.676835149226603,0.66457200134083,-209.786063114578,0.0122631478857739
"Picoides tridactylus","2006s",5,0.365,0.363,0.001,476.363078511679,477.222060384828,0.618738333602191,0.618797600854709,-0.858981873148878,-5.9267252518036e-05
"Picoides tridactylus","2012s",4,0.055,0.042,0.013,3385.16501932292,3429.56191164662,0.447320541225873,0.449487610518691,-44.3968923236976,-0.00216706929281801
"Picoides tridactylus","2018s",4,0.047,0.045,0.001,24271.5945595264,24235.3219439779,0.668732741125874,0.677425217945178,36.2726155484452,-0.00869247681930352
"Tetrao urogallus","2006s",6,0.998,0.995,0.002,0.175648293483381,0.174932195662138,0.692657782913105,0.695907105015981,0.000716097821242656,-0.00324932210287598
"Tetrao urogallus","2012s",5,0.394,0.383,0.011,72.1011842471248,73.0564144719415,0.510244699734584,0.522432238286092,-0.955230224816646,-0.0121875385515083
"Tetrao urogallus","2018s",6,0.644,0.632,0.012,4.96581702590806,4.88061254319393,0.538260011125258,0.540260046648753,0.0852044827141318,-0.00200003552349448
"Tetrastes bonasia","2006s",7,0.996,0.99,0.007,0.000638344523149044,0.000647074723380363,0.55390154024172,0.554867511808371,-8.73020023131913e-06,-0.000965971566650237
"Tetrastes bonasia","2012s",7,0.598,0.59,0.008,1.74018806594977,1.72153459638053,0.619884821738228,0.6244754398982,0.0186534695692431,-0.00459061815997175
"Tetrastes bonasia","2018s",6,0.74,0.726,0.013,4.70779299205359,4.80956148491388,0.555269597497171,0.558987442757335,-0.101768492860288,-0.00371784526016439
"Bombycilla garrulus","2006s",6,0.328,0.313,0.015,176.732363082837,173.683527529222,0.667208471038985,0.655489258773671,3.04883555361545,0.0117192122653141
